Geo Point;Geo Shape;Behinderte Grad;Kategorie;Bezeichnung;Zusatz;Adressezusatz;Firma;Vorname;Name;Adresse;Ort;Land;Öffnungszeiten;Information;Behinderte Info;Telefon;Mobil;Fax;PLZ
47.4112171875,9.36504916362;"{""type"": ""Point"", ""coordinates"": [9.365049163616517, 47.41121718754422]}";nicht behindertengerecht;Schulhäuser;Schulhaus Riethüsli;Primarschule;;;;;Gerhardtstrasse 12;St.Gallen;Schweiz;;;;41714992230;;;9012
47.4450745611,9.41008755156;"{""type"": ""Point"", ""coordinates"": [9.410087551561253, 47.44507456107881]}";nicht behindertengerecht;Schulhäuser;Oberstufenschulhaus Zil;Sekundarschule u. Realschule;;;;;Zilstrasse 61;St.Gallen;Schweiz;;;;41714992320;;41712880240;9016
47.4207950032,9.36359650414;"{""type"": ""Point"", ""coordinates"": [9.363596504135465, 47.42079500323314]}";unbekannt;Aus- und Weiterbildung;Management Academy St.Gallen;;;;;;Bogenstrasse 7;St.Gallen;Schweiz;;;;41712281090;;41712281099;9000
47.4174753934,9.35113768081;"{""type"": ""Point"", ""coordinates"": [9.351137680809721, 47.41747539338973]}";bedingt behindertengerecht;Kindergärten;Kindergarten Zürcher Strasse;;;;;;Zürcher Strasse 65;St.Gallen;Schweiz;;;Nur EG mit Treppenlift zugänlich, WC im EG;41714992288;;;9000
47.4219477476,9.36877516595;"{""type"": ""Point"", ""coordinates"": [9.368775165947811, 47.421947747628856]}";;Öffentlicher Verkehr;Haltestelle Bahnhof Appenzellerbahnen;St.Gallen AB;;AB;;;;St.Gallen;Schweiz;;;;;;;9000
47.4070467732,9.32973041056;"{""type"": ""Point"", ""coordinates"": [9.329730410558973, 47.407046773200264]}";;Öffentlicher Verkehr;Haltestelle Bahnhof Bruggen SBB;St.Gallen, Bruggen;;SBB;;;;St.Gallen;Schweiz;;;;;;;9000
47.4078229438,9.33799644174;"{""type"": ""Point"", ""coordinates"": [9.337996441738717, 47.40782294383114]}";;Öffentlicher Verkehr;Haltestelle Bahnhof Haggen;St.Gallen, Haggen;;SBB;;;;St.Gallen;Schweiz;;;;;;;9000
47.4348029772,9.39343403623;"{""type"": ""Point"", ""coordinates"": [9.39343403623257, 47.43480297718188]}";;Öffentlicher Verkehr;Haltestelle Bahnhof St.Fiden;St.Gallen, St.Fiden;;SBB;;;;St.Gallen;Schweiz;;;;;;;9000
47.4039898143,9.30090218507;"{""type"": ""Point"", ""coordinates"": [9.30090218506742, 47.4039898143221]}";;Öffentlicher Verkehr;Haltestelle Bahnhof Winkeln SBB;St.Gallen, Winkeln;;SBB;;;;St.Gallen;Schweiz;;;;;;;9000
47.4121272764,9.36245170366;"{""type"": ""Point"", ""coordinates"": [9.362451703664595, 47.412127276429516]}";unbekannt;Spielgruppen;Spielgruppe Chäferfäscht;;;;Martina;Bischof;Solitüdenstrasse 18;St.Gallen;Schweiz;;;;+4171 260 15 59;+4179 489 15 51;;9012
47.4265557145,9.3808466574;"{""type"": ""Point"", ""coordinates"": [9.380846657395576, 47.42655571449964]}";;Schulhäuser;Musikschule MSG;;;;;;Rorschacherstrasse 25;St.Gallen;Schweiz;;;;41712245959;;;9004
47.4330603479,9.41418465537;"{""type"": ""Point"", ""coordinates"": [9.414184655373099, 47.433060347911315]}";unbekannt;Kindergärten;Kindergarten Kublystrasse II;;;;;;Kublystrasse 5;St.Gallen;Schweiz;;;;41714992148;;;9016
47.4365823143,9.37551430806;"{""type"": ""Point"", ""coordinates"": [9.375514308060577, 47.436582314307834]}";unbekannt;Kindergärten;Kindergarten Waldgutstrasse 6a II;;;;;;Waldgutstrasse 6a;St.Gallen;Schweiz;;;;41714992218;;;9010
47.4333755494,9.39689269574;"{""type"": ""Point"", ""coordinates"": [9.396892695737716, 47.4333755494113]}";unbekannt;Kindergärten;Kindergarten Wiesentalstrasse 23 I;;;;;;Wiesentalstrasse 23;St.Gallen;Schweiz;;;;41714992347;;;9000
47.4345137035,9.41368771153;"{""type"": ""Point"", ""coordinates"": [9.413687711528945, 47.434513703492755]}";;Kindergärten;Kindergarten Rehetobelstrasse 87a;;;;;;Rehetobelstrasse 87a;St.Gallen;Schweiz;;;;;;;9016
47.4034916131,9.32672084698;"{""type"": ""Point"", ""coordinates"": [9.326720846984095, 47.40349161309118]}";;Spielgruppen;Spielgruppe Boppartshof;;;;Barbara;Rüesch-Kühnis;Hinterberg 61;St.Gallen;Schweiz;;;;41712782246;41796636622;;9000
47.4352090405,9.4028386109;"{""type"": ""Point"", ""coordinates"": [9.402838610903498, 47.43520904048025]}";;Spielgruppen;Spielgruppe Chrone Frösch;;;;Barbara;Nägeli;Rorschacher Strasse 226;St.Gallen;Schweiz;;Wald-Spielgruppe auch im Angebot;;;41788355485;;9000
47.4011282786,9.30102043708;"{""type"": ""Point"", ""coordinates"": [9.301020437082023, 47.40112827855965]}";;Spielgruppen;Spielgruppe Raupehöli;;;;Laura;Panzer;Herisauer Strasse 91;St.Gallen;Schweiz;;Wald-Spielgruppe auch im Angebot;;;41798514621;;9000
47.4364948827,9.42106221595;"{""type"": ""Point"", ""coordinates"": [9.421062215947073, 47.43649488268496]}";;Spielgruppen;Spielgruppe Halden;;;;Amanda;Then;Vogelherdstrasse 21;St.Gallen;Schweiz;;;;;41763084144;;9000
47.4302430888,9.38223604428;"{""type"": ""Point"", ""coordinates"": [9.382236044282694, 47.43024308883111]}";unbekannt;Aus- und Weiterbildung;Pädagogische Hochschule St.Gallen;;;;;;Notkerstrasse 27;St.Gallen;Schweiz;;;;41712439400;;41712439496;9000
47.4237528837,9.38629311947;"{""type"": ""Point"", ""coordinates"": [9.386293119466927, 47.42375288370101]}";unbekannt;Kindergärten;Kindergarten Dreilindenhang;;;;;;Dreilindenhang 30;St.Gallen;Schweiz;;;;41714992135;;;9000
47.4182534573,9.38371323636;"{""type"": ""Point"", ""coordinates"": [9.383713236361773, 47.41825345726931]}";unbekannt;Kindergärten;Kindergarten Gotthelfstrasse;;;;;;Gotthelfstrasse 11;St.Gallen;Schweiz;;;;41714992156;;;9011
47.4400606964,9.39405211216;"{""type"": ""Point"", ""coordinates"": [9.394052112158677, 47.440060696362366]}";unbekannt;Kindergärten;Kindergarten Heiligkreuzstrasse I;;;;;;Heiligkreuzstrasse 47;St.Gallen;Schweiz;;;;41714992076;;;9008
47.4421793887,9.39366179173;"{""type"": ""Point"", ""coordinates"": [9.393661791732583, 47.442179388735845]}";unbekannt;Kindergärten;Kindergarten Langgasse;;;;;;Langgasse 113;St.Gallen;Schweiz;;;;41714992078;;;9008
47.4168559758,9.35731455922;"{""type"": ""Point"", ""coordinates"": [9.357314559224793, 47.41685597578202]}";unbekannt;Kindergärten;Kindergarten Otmarstrasse;;;;;;Otmarstrasse 17;St.Gallen;Schweiz;;;;41714992287;;;9000
47.426190214,9.36071576111;"{""type"": ""Point"", ""coordinates"": [9.36071576111101, 47.426190213976966]}";unbekannt;Kindergärten;Kindergarten Schorenstrasse;;;;;;Schorenstrasse 47;St.Gallen;Schweiz;;;;41714992249;;;9000
47.4146478237,9.3989949048;"{""type"": ""Point"", ""coordinates"": [9.398994904800297, 47.41464782366888]}";unbekannt;Kindergärten;Kindergarten St. Georgen-Strasse I;;;;;;St.Georgen-Strasse 215;St.Gallen;Schweiz;;;;4714992158;;;9011
47.4021713023,9.33507264243;"{""type"": ""Point"", ""coordinates"": [9.335072642431896, 47.40217130226841]}";unbekannt;Kindergärten;Kindergarten Wolfganghof 14;;;;;;Wolfganghof 14;St.Gallen;Schweiz;;;;41714992018;;;9014
47.4368430733,9.39301400443;"{""type"": ""Point"", ""coordinates"": [9.393014004426574, 47.43684307332708]}";unbekannt;Schulhäuser;Schulhaus Buchwald;Primarschule;;;;;Buchwaldstrasse 9;St.Gallen;Schweiz;;;;41714992070;;41712447303;9008
47.4120940801,9.33290226622;"{""type"": ""Point"", ""coordinates"": [9.332902266215152, 47.41209408006543]}";bedingt behindertengerecht;Schulhäuser;Schulhaus Engelwies Primarschule;Primarschule;;;;;Zürcher Strasse 226;St.Gallen;Schweiz;;;Nordtrakt und Verbindung hindernisfrei mit WC, Südtrakt nicht hindernisfrei;41714992090;;41712773871;9014
47.4295864139,9.39646623984;"{""type"": ""Point"", ""coordinates"": [9.396466239837212, 47.42958641386887]}";nicht behindertengerecht;Schulhäuser;Schulhaus Grossacker;Primarschule;;;;;Flurhofstrasse 77;St.Gallen;Schweiz;;;;41714992130;;41712445171;9006
47.4339394889,9.39768401654;"{""type"": ""Point"", ""coordinates"": [9.397684016540532, 47.43393948885321]}";hindernisfrei;Schulhäuser;Schulhaus Krontal;Primarschule;;;;;Buchentalstrasse 9;St.Gallen;Schweiz;;Leichtathletikanlage;WC vorhanden;41714992180;;;9000
47.4207501078,9.3688596866;"{""type"": ""Point"", ""coordinates"": [9.368859686602041, 47.42075010781973]}";nicht behindertengerecht;Schulhäuser;Schulhaus St. Leonhard;Primarschule;;;;;Vadianstrasse 49;St.Gallen;Schweiz;;;;41714992110;;;9000
47.4258453292,9.36029342595;"{""type"": ""Point"", ""coordinates"": [9.36029342594996, 47.4258453291548]}";;Spielgruppen;Spielgruppe Schoreglöggli;;;;Claudia;Santana;Schorenstrasse 41;St.Gallen;Schweiz;;Wald-Spielgruppe auch im Angebot;;;41787356439;;9000
47.4201836204,9.3556623151;"{""type"": ""Point"", ""coordinates"": [9.355662315095666, 47.420183620412544]}";;Spielgruppen;Spielgruppe Schmetterling;;;;Claudia;Santana;Zürcher Strasse 22;St.Gallen;Schweiz;;;;;41787356439;;9000
47.4386133273,9.37879708759;"{""type"": ""Point"", ""coordinates"": [9.37879708758586, 47.43861332726497]}";;Spielgruppen;Spielgruppe Rotmontner Spielraum;;;;Susanne;Nemetz;Guisanstrasse 83;St.Gallen;Schweiz;;;;;41762051841;;9000
47.4173292996,9.38153182688;"{""type"": ""Point"", ""coordinates"": [9.381531826881773, 47.41732929959949]}";;Spielgruppen;Spielgruppe Murmeli;;;;Rossella;Ill;St.Georgen-Strasse 72;St.Gallen;Schweiz;;;;;41788513036;;9000
47.4425593109,9.41127792817;"{""type"": ""Point"", ""coordinates"": [9.411277928169023, 47.44255931094427]}";;Spielgruppen;Spielgruppe Zwirbel Zil;;;;Barbara;Nägeli;Brauerstrasse 82a;St.Gallen;Schweiz;;;;;41788355485;;9016
47.4399682678,9.39412308284;"{""type"": ""Point"", ""coordinates"": [9.394123082836682, 47.43996826778651]}";unbekannt;Kindergärten;Kindergarten Heiligkreuzstrasse II;;;;;;Heiligkreuzstrasse 47;St.Gallen;Schweiz;;;;41714992077;;;9008
47.4021077762,9.33549949575;"{""type"": ""Point"", ""coordinates"": [9.335499495751625, 47.402107776183755]}";unbekannt;Kindergärten;Kindergarten Wolfganghof 15;;;;;;Wolfganghof 15;St.Gallen;Schweiz;;;;41714992019;;;9014
47.4177517809,9.35661917304;"{""type"": ""Point"", ""coordinates"": [9.356619173040599, 47.41775178088453]}";unbekannt;Kindergärten;Kindergarten Salisstrasse;;;;;;Salisstrasse 5;St.Gallen;Schweiz;;;;41714992285;;;9000
47.4333959753,9.40451623065;"{""type"": ""Point"", ""coordinates"": [9.4045162306544, 47.43339597534373]}";unbekannt;Kindergärten;Kindergarten Grütlistrasse;;;;;;Grütlistrasse 24;St.Gallen;Schweiz;;Treffpunkt für Schülerinnen und Schüler von der 6. bis zur 9. Klasse;;41714992146;;;9008
47.4067064503,9.3099897522;"{""type"": ""Point"", ""coordinates"": [9.309989752202696, 47.40670645034087]}";unbekannt;Kindergärten;Kindergarten Kräzernstrasse 118;;;;;;Kräzernstrasse 118;St.Gallen;Schweiz;;;;41714992179;;;9000
47.441630589,9.40732959794;"{""type"": ""Point"", ""coordinates"": [9.407329597937446, 47.44163058901033]}";unbekannt;Kindergärten;Kindergarten Oberzilstrasse 11 / I;;;;;;Oberzilstrasse 11;St.Gallen;Schweiz;;;;41714992344;;;9016
47.4190431082,9.35644586984;"{""type"": ""Point"", ""coordinates"": [9.356445869840176, 47.419043108183594]}";;Schulhäuser;Rock und Pop Center;nicht relevant für Zuweisung;;;;;Vonwilstrasse 41;St.Gallen;Schweiz;;;;41712245959;;41712245164;9000
47.4388029946,9.38784309388;"{""type"": ""Point"", ""coordinates"": [9.387843093876958, 47.4388029946465]}";unbekannt;Spielgruppen;Spielgruppe Zwergehüsli;;;;Sabine;Iezzi;Federerstrasse 12;St.Gallen;Schweiz;;;;41712783862;41798106852;;9008
47.4318874581,9.39870027353;"{""type"": ""Point"", ""coordinates"": [9.398700273528696, 47.431887458134476]}";;Kindergärten;Kindergarten Falkensteinstr. 73;;;;;;Falkensteinstrasse 73;St.Gallen;Schweiz;;;;41714992915;;;9000
47.4147122898,9.39845720545;"{""type"": ""Point"", ""coordinates"": [9.39845720545062, 47.41471228978259]}";unbekannt;Kindergärten;Kindergarten St. Georgen-Strasse II;;;;;;St.Georgen-Strasse 215;St.Gallen;Schweiz;;;;41714992157;;;9011
47.4153965801,9.35594779726;"{""type"": ""Point"", ""coordinates"": [9.355947797259354, 47.41539658012634]}";;Kindergärten;Kindergarten Burgstrasse 91d;;;;;;Burgstrasse 91d;St.Gallen;Schweiz;;;;41714992286;;;9000
47.4040469344,9.31671356846;"{""type"": ""Point"", ""coordinates"": [9.316713568458614, 47.40404693437217]}";;Spielgruppen;Spielgruppe Raupehöli;;;;Laura;Planzer;Sturzeneggstrasse 36;St.Gallen;Schweiz;;Wald-Spielgruppe auch im Angebot;;41713114994;41798514621;;9015
47.4145685848,9.39108953715;"{""type"": ""Point"", ""coordinates"": [9.39108953714657, 47.41456858483358]}";hindernisfrei;Schulhäuser;Time out-Schule;nicht relevant für Zuweisung;;;;;St.Georgen Strasse 160;St.Gallen;Schweiz;;;Zugang mit Hebebühne, hindernisfreies WC;41712233850;;;9011
47.4214881427,9.35228053447;"{""type"": ""Point"", ""coordinates"": [9.35228053447099, 47.421488142707375]}";;Kindergärten;Kindergarten Lilienstrasse 24;;;;;;Lilienstrasse 24;St.Gallen;Schweiz;;;;41714992248;;;9000
47.4173010415,9.35059691789;"{""type"": ""Point"", ""coordinates"": [9.35059691789038, 47.41730104148898]}";unbekannt;Spielgruppen;Spielgruppe Biene Hüsli;;;;Sabine;Iezzi;Zürcher Strasse 67;St.Gallen;Schweiz;;;;41712783862;41798106852;;9000
47.4236471494,9.37160980173;"{""type"": ""Point"", ""coordinates"": [9.371609801725114, 47.42364714940831]}";unbekannt;Spielgruppen;Spielgruppe Ki-Ku der AIDA;;;AIDA;;;Merkurstrasse 2;St.Gallen;Schweiz;;;;41712233058;;;9000
47.4366392032,9.37567074801;"{""type"": ""Point"", ""coordinates"": [9.375670748005225, 47.43663920321055]}";unbekannt;Kindergärten;Kindergarten Waldgutstrasse 6a III;;;;;;Waldgutstrasse 6a;St.Gallen;Schweiz;;;;41714992219;;;9010
47.4415714234,9.40757034958;"{""type"": ""Point"", ""coordinates"": [9.407570349583759, 47.44157142341054]}";unbekannt;Kindergärten;Kindergarten Oberzilstrasse 11 / II;;;;;;Oberzilstrasse 11;St.Gallen;Schweiz;;;;41714992344;;;9016
47.4169170665,9.36575658354;"{""type"": ""Point"", ""coordinates"": [9.365756583538271, 47.416917066452754]}";;Kindergärten;Kindergarten Tschudiwies II;;;;;;Tschudistrasse 21;St. Gallen;Schweiz;;;;41714992118;;;9000
47.4316337414,9.37438460373;"{""type"": ""Point"", ""coordinates"": [9.374384603730624, 47.431633741389795]}";unbekannt;Aus- und Weiterbildung;Universität St.Gallen HSG;;;;;;Dufourstrasse 50;St.Gallen;Schweiz;;;;41712242111;;41712242116;9000
47.4146704581,9.31426837062;"{""type"": ""Point"", ""coordinates"": [9.31426837062015, 47.41467045814604]}";unbekannt;Aus- und Weiterbildung;ZbW Zentrum für berufliche Weiterbildung;;;;;;Gaiserwaldstrasse 6;St.Gallen;Schweiz;;;;41713134040;;41713134000;9015
47.4059397058,9.33552536335;"{""type"": ""Point"", ""coordinates"": [9.335525363345745, 47.40593970576334]}";unbekannt;Kindergärten;Kindergarten Boppartshofstrasse 3;;;;;;Boppartshofstrasse 3;St.Gallen;Schweiz;;;;41714992014;;;9014
47.4113909432,9.36563834842;"{""type"": ""Point"", ""coordinates"": [9.365638348420807, 47.4113909432166]}";unbekannt;Kindergärten;Kindergarten Gerhardtstrasse;;;;;;Gerhardtstrasse 14;St.Gallen;Schweiz;;;;41714992237;;;9012
47.4373406373,9.38668668508;"{""type"": ""Point"", ""coordinates"": [9.386686685077178, 47.43734063725762]}";unbekannt;Kindergärten;Kindergarten Iddastrasse 25;;;;;;Iddastrasse 25;St.Gallen;Schweiz;;;;41714992216;;;9008
47.4035146215,9.31487529959;"{""type"": ""Point"", ""coordinates"": [9.314875299594604, 47.40351462153537]}";unbekannt;Kindergärten;Kindergarten Koblerstrasse;;;;;;Koblerstrasse 19;St.Gallen;Schweiz;;;;41714992175;;;9015
47.4222095001,9.37520106996;"{""type"": ""Point"", ""coordinates"": [9.375201069956562, 47.42220950009261]}";unbekannt;Kindergärten;Kindergarten Oberer Graben;;;;;;Oberer Graben 45;St.Gallen;Schweiz;;;;41714992116;;;9000
47.4304846912,9.39086378219;"{""type"": ""Point"", ""coordinates"": [9.390863782194035, 47.43048469118143]}";unbekannt;Kindergärten;Kindergarten Rorschacher Strasse;;;;;;Rorschacher Strasse 107;St.Gallen;Schweiz;;;;41714992191;;;9000
47.4064750647,9.31329933588;"{""type"": ""Point"", ""coordinates"": [9.313299335876827, 47.40647506472238]}";unbekannt;Kindergärten;Kindergarten Sonnmattstrasse;;;;;;Sonnmattstrasse 17;St.Gallen;Schweiz;;;;41714992176;;;9015
47.4151667808,9.38887919239;"{""type"": ""Point"", ""coordinates"": [9.38887919239389, 47.41516678084052]}";nicht behindertengerecht;Schulhäuser;Schulhaus Bach;Primarschule;;;;;St.Georgen-Strasse 141;St.Gallen;Schweiz;;;;41712228819;;;9011
47.404428463,9.31762878951;"{""type"": ""Point"", ""coordinates"": [9.31762878950682, 47.40442846299213]}";hindernisfrei;Schulhäuser;Schulhaus Hof;Primarschule;;;;;Sturzeneggstrasse 33;St.Gallen;Schweiz;;;WC und Lift;41713111161;;41713118261;9015
47.4227775318,9.37719149174;"{""type"": ""Point"", ""coordinates"": [9.377191491736431, 47.42277753176638]}";;Schulhäuser;Klosterschulhaus;nicht relevant für Zuweisung;;;;;Klosterhof 6c;St.Gallen;Schweiz;;;;41712273390;;41712273391;9000
47.4018446748,9.29878708652;"{""type"": ""Point"", ""coordinates"": [9.298787086519633, 47.4018446747568]}";bedingt behindertengerecht;Schulhäuser;Schulhaus Kreuzbühl;Primarschule;;;;;Gsellstrasse 8/10;St.Gallen;Schweiz;;;Nur Erdgeschoss ist zugänglich, kein WC;41714992190;;41713111308;9015
47.4384540329,9.40583863135;"{""type"": ""Point"", ""coordinates"": [9.405838631349493, 47.438454032885204]}";;Schulhäuser;Notkerschulhaus;nicht relevant für Zuweisung;;;;;Lindenstrasse 175;St.Gallen;Schweiz;;;;41712824433;;41712824434;9016
47.4416665127,9.41048955937;"{""type"": ""Point"", ""coordinates"": [9.410489559371586, 47.441666512723295]}";hindernisfrei;Schulhäuser;Schulhaus Oberzil;Primarschule;;;;;Brauerstrasse 78;St.Gallen;Schweiz;;;;41714992220;;41712829045;9016
47.4368771375,9.37629359797;"{""type"": ""Point"", ""coordinates"": [9.376293597967683, 47.436877137461494]}";nicht behindertengerecht;Schulhäuser;Schulhaus Rotmonten;Primarschule;;;;;Holzstrasse 5;St.Gallen;Schweiz;;;;41714992200;;41712455181;9010
47.417029756,9.34725086865;"{""type"": ""Point"", ""coordinates"": [9.34725086865199, 47.41702975599528]}";;Schulhäuser;Oberstufenschulhaus Schönau;Sekundarschule u. Realschule;;;;;Schönaustrasse 82;St.Gallen;Schweiz;;;;41714992250;;41712773427;9000
47.4060233352,9.3358916396;"{""type"": ""Point"", ""coordinates"": [9.335891639600922, 47.40602333520537]}";unbekannt;Kindergärten;Kindergarten Boppartshofstrasse 1;;;;;;Boppartshofstrasse 1;St.Gallen;Schweiz;;Einzugsgebiet der Primarschule Rotmonten-Gerhalde;;+;;;9014
47.4106754416,9.33466688438;"{""type"": ""Point"", ""coordinates"": [9.334666884378457, 47.41067544162619]}";unbekannt;Kindergärten;Kindergarten Alpsteinstrasse 7 I;;;;;;Alpsteinstrasse 7;St.Gallen;Schweiz;;;;41714992097;;;9014
47.4263945509,9.36324356177;"{""type"": ""Point"", ""coordinates"": [9.363243561765955, 47.42639455089094]}";unbekannt;Kindergärten;Kindergarten Dietlistrasse;;;;;;Dietlistrasse 41;St.Gallen;Schweiz;;;;41714992246;;;9000
47.4330470504,9.37962186096;"{""type"": ""Point"", ""coordinates"": [9.379621860961253, 47.43304705041651]}";unbekannt;Kindergärten;Kindergarten Goethestrasse;;;;;;Goethestrasse 15;St.Gallen;Schweiz;;Doppelkindergarten;;41714992214;;;9000
47.4092575472,9.36289769864;"{""type"": ""Point"", ""coordinates"": [9.362897698635045, 47.40925754716589]}";unbekannt;Kindergärten;Kindergarten Guggerstrasse;;;;;;Guggerstrasse 8;St.Gallen;Schweiz;;;;41714992238;;;9012
47.4016603173,9.3004757159;"{""type"": ""Point"", ""coordinates"": [9.300475715903563, 47.40166031731929]}";unbekannt;Kindergärten;Kindergarten Herisauer Strasse 88a;;;;;;Herisauer Strasse 88a;St.Gallen;Schweiz;;;;41714992177;;;9015
47.4034246909,9.32654775292;"{""type"": ""Point"", ""coordinates"": [9.326547752923837, 47.40342469091043]}";unbekannt;Kindergärten;Kindergarten Hinterberg I;;;;;;Hinterberg 61;St.Gallen;Schweiz;;;;41714992016;;;9014
47.4205573104,9.35201415116;"{""type"": ""Point"", ""coordinates"": [9.352014151160486, 47.42055731042134]}";unbekannt;Kindergärten;Kindergarten Isenringweg;;;;;;Isenringweg 7;St.Gallen;Schweiz;;;;41714992247;;;9000
47.4256882763,9.38417183974;"{""type"": ""Point"", ""coordinates"": [9.384171839744278, 47.42568827631028]}";unbekannt;Kindergärten;Kindergarten Konkordiastrasse;;;;;;Konkordiastrasse 18;St.Gallen;Schweiz;;;;41714992254;;;9000
47.4093221417,9.33779445749;"{""type"": ""Point"", ""coordinates"": [9.337794457485682, 47.40932214170644]}";unbekannt;Kindergärten;Kindergarten Moosstrasse;;;;;;Moosstrasse 57b;St.Gallen;Schweiz;;;;41714992099;;;9014
47.4352198945,9.39833860993;"{""type"": ""Point"", ""coordinates"": [9.398338609933285, 47.435219894526746]}";hindernisfrei;Schulhäuser;Oberstufenschulhaus Buchental;Realschule;;;;;Lindenstrasse 105;St.Gallen;Schweiz;;;WC vorhanden;41714992060;;41712447260;9000
47.4295729736,9.38292573029;"{""type"": ""Point"", ""coordinates"": [9.382925730293705, 47.42957297359704]}";bedingt behindertengerecht;Schulhäuser;Oberstufenschulhaus Bürgli;Realschule;;;;;Notkerstrasse 24;St.Gallen;Schweiz;;;Zugang von Süden mit Treppenlift, Lift vorhanden;41714992050;;41712449017;9000
47.4227583591,9.37860798836;"{""type"": ""Point"", ""coordinates"": [9.378607988361386, 47.42275835907595]}";;Schulhäuser;Gallusschulhaus;nicht relevant für Zuweisung;;;;;Moosbruggstrasse 21;St.Gallen;Schweiz;;;;41712273400;;41712273401;9000
47.434589973,9.4114559436;"{""type"": ""Point"", ""coordinates"": [9.411455943598726, 47.434589972950945]}";;Schulhäuser;Schulhaus Halden;Primarschule;;;;;Oberhaldenstrasse 15;St.Gallen;Schweiz;;;;41714992140;;41712884011;9016
47.4172767562,9.3833117442;"{""type"": ""Point"", ""coordinates"": [9.38331174420449, 47.41727675621406]}";nicht behindertengerecht;Schulhäuser;Schulhaus Hebel St. Georgen;Primarschule;;;;;Hebelstrasse 21;St.Gallen;Schweiz;;;;41712228854;;41712228889;9000
47.4299143009,9.3814771394;"{""type"": ""Point"", ""coordinates"": [9.381477139404595, 47.4299143009216]}";hindernisfrei;Schulhäuser;Schulhaus Spelterini;Primarschule;;;;;Sonnenstrasse 16;St.Gallen;Schweiz;;;WC vorhanden;41714992260;;41712441437;9000
47.4331523455,9.41412930791;"{""type"": ""Point"", ""coordinates"": [9.414129307910219, 47.43315234549939]}";unbekannt;Kindergärten;Kindergarten Kublystrasse I;;;;;;Kublystrasse 5;St.Gallen;Schweiz;;;;41714992147;;;9016
47.4015139124,9.30040770797;"{""type"": ""Point"", ""coordinates"": [9.300407707972626, 47.401513912435775]}";unbekannt;Kindergärten;Kindergarten Herisauer Strasse 88b;;;;;;Herisauer Strasse 88b;St.Gallen;Schweiz;;;;41714992178;;;9015
